starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:50 2013	1377668210	0	240	240	159
Wed Aug 28 12:37:00 2013	1377668220	0	240	240	90
Wed Aug 28 12:36:55 2013	1377668215	0	241	241	117
Wed Aug 28 12:36:59 2013	1377668219	0	243	243	124
Wed Aug 28 12:37:01 2013	1377668221	0	244	244	174
Wed Aug 28 12:37:00 2013	1377668220	0	246	247	124
Wed Aug 28 12:36:17 2013	1377668177	0	246	247	169
Wed Aug 28 12:36:34 2013	1377668194	0	247	247	133
Wed Aug 28 12:36:38 2013	1377668198	0	248	249	168
Wed Aug 28 12:36:51 2013	1377668211	0	248	249	166
Wed Aug 28 12:36:48 2013	1377668208	1	248	249	169
Wed Aug 28 12:36:50 2013	1377668210	0	250	250	172
Wed Aug 28 12:36:56 2013	1377668216	0	251	251	116
Wed Aug 28 12:36:34 2013	1377668194	0	251	251	175
Wed Aug 28 12:36:49 2013	1377668209	0	252	252	179
Wed Aug 28 12:36:46 2013	1377668206	0	253	253	142
Wed Aug 28 12:36:52 2013	1377668212	0	253	253	174
Wed Aug 28 12:36:35 2013	1377668195	0	253	254	121
Wed Aug 28 12:36:56 2013	1377668216	0	253	254	195
Wed Aug 28 12:36:57 2013	1377668217	0	253	254	176
Wed Aug 28 12:36:45 2013	1377668205	0	254	254	178
Wed Aug 28 12:36:59 2013	1377668219	0	256	256	155
Wed Aug 28 12:36:53 2013	1377668213	0	258	258	92
Wed Aug 28 12:36:29 2013	1377668189	0	259	259	136
Wed Aug 28 12:37:02 2013	1377668222	0	260	260	212
Wed Aug 28 12:36:57 2013	1377668217	1	260	260	141
Wed Aug 28 12:36:48 2013	1377668208	0	260	261	207
Wed Aug 28 12:36:28 2013	1377668188	0	263	263	182
Wed Aug 28 12:36:53 2013	1377668213	0	265	266	140
Wed Aug 28 12:36:29 2013	1377668189	0	267	267	145
Wed Aug 28 12:36:56 2013	1377668216	0	270	270	192
Wed Aug 28 12:36:45 2013	1377668205	0	270	270	127
Wed Aug 28 12:36:38 2013	1377668198	0	272	272	219
Wed Aug 28 12:36:54 2013	1377668214	0	275	275	152
Wed Aug 28 12:36:49 2013	1377668209	0	276	276	213
Wed Aug 28 12:36:53 2013	1377668213	0	276	276	193
Wed Aug 28 12:36:48 2013	1377668208	0	279	279	216
Wed Aug 28 12:36:56 2013	1377668216	0	282	283	195
